hip,hd,vmag,bv,proper
677,358,2.07,-0.038,Alpheratz
746,432,2.28,0.380,Caph
1067,886,2.83,-0.190,Algenib
2021,2151,2.82,0.618,
2081,2261,2.40,1.083,Ankaa
3179,3712,2.24,1.170,Schedar
3419,4128,2.04,1.019,Diphda
4427,5394,2.15,-0.046,Cih
5447,6860,2.07,1.576,Mirach
6686,8538,2.66,0.160,Ruchbah
7588,10144,0.45,-0.158,Achernar
8903,11636,2.64,0.165,Sheratan
9236,12311,2.86,0.290,
9640,12533,2.10,1.370,Almach
9884,12929,2.01,1.151,Hamal
10064,13161,3.00,0.140,
11767,8890,1.97,0.636,Polaris
13847,18622,2.88,0.128,Acamar
14135,18884,2.54,1.630,Menkar
14328,18925,2.91,0.716,
14576,19356,2.09,-0.003,Algol
15863,20902,1.79,0.481,Mirfak
17702,23630,2.85,-0.086,Alcyone
18246,24398,2.84,0.271,
18532,24760,2.90,-0.199,
18543,25025,2.97,1.588,Zaurak
21421,29139,0.87,1.538,Aldebaran
23015,31398,2.69,1.490,Hassaleh
23875,33111,2.78,0.161,Cursa
24436,34085,0.18,-0.030,Rigel
24608,34029,0.08,0.795,Capella
25336,35468,1.64,-0.224,Bellatrix
25428,35497,1.65,-0.130,Elnath
25606,36079,2.81,0.807,Nihal
25930,36486,2.25,-0.175,Mintaka
25985,36673,2.58,0.211,Arneb
26241,37043,2.75,-0.210,Hatysa
26311,37128,1.69,-0.184,Alnilam
26451,37202,2.97,-0.148,Tianguan
26634,37795,2.65,-0.120,Phact
26727,37742,1.74,-0.199,Alnitak
27366,38771,2.07,-0.168,Saiph
27989,39801,0.45,1.500,Betelgeuse
28360,40183,1.90,0.077,Menkalinan
28380,40312,2.65,-0.083,Mahasim
30324,44743,1.98,-0.240,Mirzam
30343,44478,2.87,1.621,Tejat
30438,45348,-0.62,0.164,Canopus
31681,47105,1.93,0.001,Alhena
32349,48915,-1.44,0.009,Sirius
32768,50310,2.94,1.207,
33579,52089,1.50,-0.211,Adhara
34444,54605,1.83,0.671,Wezen
35264,56855,2.71,1.616,
35904,58350,2.45,-0.083,Aludra
36188,58715,2.89,-0.097,Gomeisa
36850,60179,1.58,0.034,Castor
37279,61421,0.40,0.432,Procyon
37826,62509,1.16,0.991,Pollux
39429,66811,2.21,-0.269,Naos
39757,67523,2.83,0.458,Tureis
39953,68273,1.75,-0.145,
41037,71129,1.86,1.196,Avior
42913,74956,1.93,0.043,Alsephina
44816,78647,2.23,1.665,Suhail
45238,80007,1.67,0.070,Miaplacidus
45556,80404,2.21,0.189,Aspidiske
45941,81188,2.47,-0.141,Markeb
46390,81797,1.99,1.440,Alphard
47908,84441,2.97,0.808,Ras Elased Australis
48002,85123,2.92,0.273,
49669,87901,1.36,-0.087,Regulus
50583,89484,2.01,1.128,Algieba
52419,93030,2.74,-0.220,
52727,93497,2.69,0.901,
53910,95418,2.34,0.033,Merak
54061,95689,1.81,1.061,Dubhe
54539,96833,3.00,1.144,
54872,97603,2.56,0.128,Zosma
57632,102647,2.14,0.090,Denebola
58001,103287,2.41,0.044,Phecda
59196,105435,2.58,-0.128,
59747,106490,2.79,-0.193,Imai
59803,106625,2.58,-0.107,Gienah
60718,108248,0.77,-0.243,Acrux
60965,108767,2.94,-0.012,Algorab
61084,108903,1.59,1.600,Gacrux
61359,109379,2.65,0.893,Kraz
61585,109668,2.69,-0.176,
61932,110304,2.20,-0.023,
61941,110379,2.74,0.368,Porrima
62434,111123,1.25,-0.238,Mimosa
62956,112185,1.76,-0.022,Alioth
63125,112413,2.89,-0.115,Cor Caroli
63608,113226,2.85,0.934,Vindemiatrix
64962,115659,2.99,0.920,
65109,115892,2.75,0.068,Kulou
65378,116656,2.23,0.057,Mizar
65474,116658,0.98,-0.235,Spica
66657,118716,2.29,-0.171,
67301,120315,1.85,-0.099,Alkaid
67927,121370,2.68,0.580,Muphrid
68002,121263,2.55,-0.176,Leepwal
68702,122451,0.61,-0.231,Hadar
68933,123139,2.06,1.011,Menkent
69673,124897,-0.05,1.239,Arcturus
71352,127972,2.33,-0.157,
71681,128621,1.35,0.900,Toliman
71683,128620,-0.01,0.710,Rigil Kentaurus
