# Messier deep-sky object catalog.
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv,
# Messier subset, with M40 (Winnecke 4), M45 (Pleiades), and
# M102 (= NGC 5866) added from NGC 2000.0 / SEDS Messier database
# (https://www.messier.seds.org/) cross-reference. M73's missing size
# was filled from SEDS (2.8 arcmin).
#
# OpenNGC compiles its values from NGC 2000.0 (Sinnott & Skiff 1988),
# SIMBAD, NED, and HyperLEDA. The columns retained here are factual
# astronomical numbers (J2000 coordinates, V apparent magnitudes,
# major-axis angular sizes) that are not copyrightable as facts; the
# OpenNGC compilation itself is acknowledged in data/manifest.toml.
#
# Columns:
#   m            : Messier number (1..110)
#   ngc          : NGC or common identifier
#   name         : popular common name; may be empty
#   ra_hours     : J2000 right ascension in decimal hours (0..24)
#   dec_deg      : J2000 declination in decimal degrees (-90..+90)
#   mag          : V apparent magnitude
#   type         : OC (open cluster) | GC (globular cluster) |
#                  G (galaxy) | N (nebula) | PN (planetary nebula) |
#                  SNR (supernova remnant) | Other
#   size_arcmin  : major-axis apparent size in arcminutes
m,ngc,name,ra_hours,dec_deg,mag,type,size_arcmin
1,NGC1952,Crab Nebula,5.575547,22.0145,8.40,SNR,8.00
2,NGC7089,,21.557503,-0.8233,6.25,GC,8.40
3,NGC5272,,13.703119,28.3754,6.39,GC,16.20
4,NGC6121,,16.393167,-26.5255,5.40,GC,28.20
5,NGC5904,,15.309375,2.0827,5.95,GC,15.00
6,NGC6405,Butterfly Cluster,17.672431,-32.2542,4.20,OC,15.60
7,NGC6475,Ptolemy's Cluster,17.897550,-34.7928,3.30,OC,22.20
8,NGC6523,Lagoon Nebula,18.061464,-24.3802,5.80,N,45.00
9,NGC6333,,17.319939,-18.5162,8.42,GC,6.90
10,NGC6254,,16.952497,-4.0993,4.98,GC,9.30
11,NGC6705,Amas de l'Ecu de Sobieski,18.851664,-6.2700,5.80,OC,9.00
12,NGC6218,,16.787367,-1.9478,6.07,GC,11.10
13,NGC6205,Hercules Globular Cluster,16.694897,36.4613,5.80,GC,16.50
14,NGC6402,,17.626711,-3.2459,5.73,GC,9.90
15,NGC7078,,21.499550,12.1668,6.30,GC,11.10
16,NGC6611,Eagle Nebula,18.313381,-13.8072,6.00,N,120.00
17,NGC6618,Checkmark Nebula,18.346419,-16.1715,7.00,N,12.60
18,NGC6613,,18.332914,-17.1020,6.90,OC,6.00
19,NGC6273,,17.043800,-26.2679,5.57,GC,7.50
20,NGC6514,Trifid Nebula,18.045031,-22.9719,8.50,N,28.00
21,NGC6531,,18.070403,-22.4901,5.90,OC,6.00
22,NGC6656,,18.606722,-23.9034,6.17,GC,12.60
23,NGC6494,,17.951325,-18.9853,5.50,OC,16.80
24,IC4715,Small Sgr Star Cloud,18.282256,-18.5146,4.50,OC,120.00
25,IC4725,,18.529658,-19.1149,4.60,OC,14.10
26,NGC6694,,18.755183,-9.3836,8.87,OC,6.00
27,NGC6853,Dumbbell Nebula,19.993439,22.7210,7.40,PN,6.70
28,NGC6626,,18.409136,-24.8698,6.90,GC,5.10
