# proper	bayer	flam	hr	hd	hip	con	ra_rad	dec_rad	mag	dist_pc
Sirius	Alp	9	2491	48915	32349	CMa	1.7677954	-0.2917513	-1.440	2.637
Canopus	Alp		2326	45348	30438	Car	1.6753054	-0.9197128	-0.620	94.787
Arcturus	Alp	16	5340	124897	69673	Boo	3.7335290	0.3347962	-0.050	11.258
Rigil Kentaurus	Alp-1		5459	128620	71683	Cen	3.8381792	-1.0617532	-0.010	1.325
Vega	Alp	3	7001	172167	91262	Lyr	4.8735631	0.6769031	0.030	7.679
Capella	Alp	13	1708	34029	24608	Aur	1.3818164	0.8028164	0.080	13.123
Rigel	Bet	19	1713	34085	24436	Ori	1.3724304	-0.1431456	0.180	264.550
Procyon	Alp	10	2943	61421	37279	CMi	2.0040830	0.0911933	0.400	3.514
Achernar	Alp		472	10144	7588	Eri	0.4263551	-0.9989699	0.450	42.753
Betelgeuse	Alp	58	2061	39801	27989	Ori	1.5497291	0.1292776	0.450	152.672
Hadar	Bet		5267	122451	68702	Cen	3.6818757	-1.0537083	0.610	120.192
Altair	Alp	53	7557	187642	97649	Aql	5.1957721	0.1547814	0.760	5.130
Acrux	Alp-1		4730	108248	60718	Cru	3.2576513	-1.1012869	0.770	98.717
Aldebaran	Alp	87	1457	29139	21421	Tau	1.2039308	0.2881417	0.870	20.433
Spica	Alp	67	5056	116658	65474	Vir	3.5133172	-0.1948018	0.980	76.570
Antares	Alp	21	6134	148478	80763	Sco	4.3171055	-0.4613255	1.060	169.779
Pollux	Bet	78	2990	62509	37826	Gem	2.0303269	0.4891494	1.160	10.358
Fomalhaut	Alp	24	8728	216956	113368	PsA	6.0111334	-0.5170056	1.170	7.704
Mimosa	Bet		4853	111123	62434	Cru	3.3498170	-1.0417654	1.250	85.397
Deneb	Alp	50	7924	197345	102098	Cyg	5.4167685	0.7902910	1.250	432.900
Toliman	Alp-2		5460	128621	71681	Cen	3.8380696	-1.0618286	1.350	1.325
Regulus	Alp	32	3982	87901	49669	Leo	2.6545232	0.2088672	1.360	24.313
Adhara	Eps	21	2618	52089	33579	CMa	1.8265996	-0.5056583	1.500	124.224
Castor	Alp	66	2891	60179	36850	Gem	1.9835583	0.5565554	1.580	15.596
Gacrux	Gam		4763	108903	61084	Cru	3.2775789	-0.9968136	1.590	27.152
Shaula	Lam	35	6527	158926	85927	Sco	4.5972352	-0.6475838	1.620	175.131
Bellatrix	Gam	24	1790	35468	25336	Ori	1.4186518	0.1108232	1.640	77.399
Elnath	Bet	112	1791	35497	25428	Tau	1.4237168	0.4992942	1.650	41.051
Miaplacidus	Bet		3685	80007	45238	Car	2.4138012	-1.2167948	1.670	34.698
Alnilam	Eps	46	1903	37128	26311	Ori	1.4670084	-0.0209775	1.690	606.061
Alnair	Alp		8425	209952	109268	Gru	5.7955076	-0.8196236	1.730	30.969
Alnitak	Zet	50	1948	37742	26727	Ori	1.4868407	-0.0339043	1.740	225.734
	Gam-2		3207	68273	39953	Vel	2.1359886	-0.8261793	1.750	342.466
Alioth	Eps	77	4905	112185	62956	UMa	3.3773356	0.9766831	1.760	25.310
Mirfak	Alp	33	1017	20902	15863	Per	0.8915260	0.8702418	1.790	155.280
Kaus Australis	Eps	20	6879	169022	90185	Sgr	4.8178595	-0.6001248	1.790	43.937
Dubhe	Alp	50	4301	95689	54061	UMa	2.8960654	1.0777588	1.810	37.679
Wezen	Del	25	2693	54605	34444	CMa	1.8692101	-0.4606482	1.830	492.611
Alkaid	Eta	85	5191	120315	67301	UMa	3.6108299	0.8606788	1.850	31.867
Avior	Eps		3307	71129	41037	Car	2.1926317	-1.0386364	1.860	185.529
Sargas	The		6553	159532	86228	Sco	4.6134237	-0.7504536	1.860	92.081
Menkalinan	Bet	34	2088	40183	28360	Aur	1.5687409	0.7844807	1.900	24.869
Atria	Alp		6217	150798	82273	TrA	4.4011296	-1.2047609	1.910	119.760
Alhena	Gam	24	2421	47105	31681	Gem	1.7353446	0.2862209	1.930	33.512
Alsephina	Del		3485	74956	42913	Vel	2.2894512	-0.9548491	1.930	24.698
Peacock	Alp		7790	193924	100751	Pav	5.3478964	-0.9902141	1.940	54.825
Polaris	Alp	1	424	8890	11767	UMi	0.6622871	1.5579526	1.970	132.626
Mirzam	Bet	2	2294	44743	30324	CMa	1.6698427	-0.3133899	1.980	151.057
Alphard	Alp	30	3748	81797	46390	Hya	2.4765672	-0.1511211	1.990	55.279
Hamal	Alp	13	617	12929	9884	Ari	0.5548981	0.4094965	2.010	20.178
Algieba	Gam-1	41	4057	89484	50583	Leo	2.7051398	0.3462993	2.010	39.888
Diphda	Bet	16	188	4128	3419	Cet	0.1901946	-0.3139255	2.040	29.533
Nunki	Sig	34	7121	175191	92855	Sgr	4.9535298	-0.4589644	2.050	69.832
Menkent	The	5	5288	123139	68933	Cen	3.6943545	-0.6347755	2.060	18.034
Alpheratz	Alp	21	15	358	677	And	0.0365972	0.5077238	2.070	29.744
Mirach	Bet	43	337	6860	5447	And	0.3042618	0.6216960	2.070	60.533
Saiph	Kap	53	2004	38771	27366	Ori	1.5173739	-0.1687664	2.070	198.413
Kochab	Bet	7	5563	131873	72607	UMi	3.8864393	1.2942577	2.070	40.145
Tiaki	Bet		8636	214952	112122	Gru	5.9457560	-0.8182902	2.070	54.259
Rasalhague	Alp	55	6556	159561	86032	Oph	4.6030200	0.2192140	2.080	14.896
Algol	Bet	26	936	19356	14576	Per	0.8210415	0.7148109	2.090	27.571
Almach	Gam-1	57	603	12533	9640	And	0.5406117	0.7387931	2.100	120.482
Denebola	Bet	94	4534	102647	57632	Leo	3.0938570	0.2543304	2.140	11.000
Cih	Gam	27	264	5394	4427	Cas	0.2474380	1.0597070	2.150	168.350
	Gam		4819	110304	61932	Cen	3.3227502	-0.8545113	2.200	39.904
Naos	Zet		3165	66811	39429	Pup	2.1100341	-0.6981866	2.210	332.226
Aspidiske	Iot		3699	80404	45556	Car	2.4307649	-1.0345479	2.210	234.742
Alphecca	Alp	5	5793	139006	76267	CrB	4.0783443	0.4662594	2.220	23.010
Suhail	Lam		3634	78647	44816	Vel	2.3910839	-0.7580417	2.230	166.945
Mizar	Zet	79	5054	116656	65378	UMa	3.5077839	0.9586284	2.230	26.309
Sadr	Gam	37	7796	194093	100453	Cyg	5.3329773	0.7026116	2.230	561.798
Schedar	Alp	18	168	3712	3179	Cas	0.1767449	0.9867626	2.240	69.979
Eltanin	Gam	33	6705	164058	87833	Dra	4.6975808	0.8986507	2.240	47.304
Mintaka	Del	34	1852	36486	25930	Ori	1.4486524	-0.0052201	2.250	212.314
Caph	Bet	11	21	432	746	Cas	0.0400259	1.0323584	2.280	16.784
	Eps		5132	118716	66657	Cen	3.5774351	-0.9331646	2.290	131.062
Dschubba	Del	7	5953	143275	78401	Sco	4.1902451	-0.3948233	2.290	150.602
