# Bright NGC / IC deep-sky object catalog (V <= 11.5 mag, plus large
# diffuse nebulae lacking integrated photometry).
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv
# and addendum.csv. Filter rules (see scripts/extract-openngc-bright.py):
#   - exclude Messier objects (covered by messier.csv);
#   - exclude OpenNGC types {*, **, *Ass, NonEx, Other};
#   - keep min(V-Mag, B-Mag - 0.6) <= 11.5 mag when photometry present;
#   - keep emission/reflection/diffuse nebulae (EmN/RfN/Neb/HII/Cl+N/SNR)
#     with major-axis >= 30 arcmin even when integrated magnitude is missing
#     (sentinel mag = 99.00; renderer treats them as faint until the
#     density slider is opened).
#
# Columns: name, ra_hours (J2000), dec_deg (J2000), mag, type, size_arcmin.
# Position units mirror crates/catalog/data/messier.csv. The renderer build
# script compacts this CSV into the i16 binary `openngc_bright.bin`.
#
# Type codes (normalised from OpenNGC):
#   OC  open cluster        GC  globular cluster
#   G   galaxy              N   diffuse / emission / reflection nebula
#   PN  planetary nebula    SNR supernova remnant
#   Other  anything else
name,ra_hours,dec_deg,mag,type,size_arcmin
NGC24,0.165706,-24.9631,11.48,G,6.18
NGC40,0.216953,72.5219,10.67,PN,0.80
NGC45,0.234442,-23.1821,10.44,G,6.18
NGC55,0.248222,-39.1966,7.79,G,29.85
NGC103,0.421222,61.3235,9.68,OC,2.70
NGC104,0.401489,-72.0814,4.09,GC,31.80
NGC121,0.446736,-71.5357,10.60,GC,3.80
NGC129,0.499497,60.2112,6.50,OC,5.40
NGC133,0.521378,63.3526,9.40,OC,2.10
NGC134,0.506103,-33.2440,10.31,G,8.38
NGC146,0.551094,63.3090,8.99,OC,3.60
NGC147,0.553367,48.5087,9.72,G,9.40
NGC150,0.570967,-27.8036,11.37,G,3.54
NGC157,0.579656,-8.3964,10.47,G,3.70
NGC185,0.649436,48.3374,9.20,G,12.94
NGC188,0.790981,85.2696,8.10,OC,17.70
NGC189,0.659917,61.0945,8.47,OC,2.70
NGC210,0.676394,-13.8728,11.12,G,4.98
NGC225,0.726772,61.7669,6.83,OC,4.20
NGC242,0.726050,-73.4463,11.50,OC,0.75
NGC246,0.784267,-11.8719,7.40,PN,4.08
NGC247,0.785708,-20.7604,9.07,G,19.68
NGC253,0.792533,-25.2882,7.34,G,26.79
NGC278,0.867864,47.5505,10.85,G,2.36
NGC281,0.883153,56.6219,99.00,N,35.00
NGC288,0.879847,-26.5899,8.13,GC,9.60
NGC289,0.878433,-31.2058,11.10,G,3.36
NGC290,0.853939,-73.1615,11.50,OC,1.10
NGC292,0.879106,-72.8286,2.15,G,299.92
NGC299,0.890019,-72.1971,11.45,OC,0.90
NGC300,0.914856,-37.6844,8.17,G,19.41
NGC330,0.938236,-72.4629,9.16,OC,2.80
NGC337,0.997247,-7.5780,11.41,G,2.92
NGC362,1.053953,-70.8482,6.58,GC,8.70
NGC376,1.064847,-72.8237,10.56,OC,1.80
NGC381,1.138336,61.5833,9.30,OC,6.00
NGC404,1.157506,35.7181,10.55,G,3.40
NGC410,1.183028,33.1519,11.48,G,2.37
NGC419,1.138103,-72.8835,10.50,GC,2.80
NGC428,1.215475,0.9816,11.35,G,2.82
NGC436,1.266050,58.8171,7.41,OC,5.70
NGC457,1.325736,58.2907,6.37,OC,7.80
NGC458,1.248186,-71.5527,11.25,OC,2.60
NGC488,1.363014,5.2567,10.26,G,5.05
NGC524,1.413256,9.5388,10.35,G,3.37
NGC533,1.425378,1.7591,11.47,G,3.44
NGC559,1.492547,63.3014,9.25,OC,9.00
NGC578,1.508081,-22.6674,10.94,G,4.82
NGC584,1.522431,-6.8681,10.35,G,3.78
NGC596,1.547800,-7.0318,10.95,G,2.14
NGC609,1.606594,64.5366,11.00,OC,4.80
NGC613,1.571714,-29.4184,10.14,G,5.48
NGC625,1.584619,-41.4362,11.05,G,6.55
NGC636,1.651814,-7.5126,11.41,G,2.70
NGC637,1.717531,64.0366,7.96,OC,4.50
NGC654,1.733175,61.8827,6.50,OC,6.30
NGC659,1.739719,60.6692,7.80,OC,4.20
NGC660,1.717333,13.6451,11.29,G,4.57
NGC663,1.771125,61.2182,7.10,OC,6.00
NGC672,1.798478,27.4328,10.81,G,7.01
NGC676,1.815919,5.9075,9.56,G,2.75
NGC685,1.795225,-52.7618,11.30,G,3.01
NGC720,1.883472,-13.7387,10.14,G,4.49
NGC741,1.939175,5.6289,11.26,G,2.83
NGC744,1.974978,55.4746,7.78,OC,11.70
NGC752,1.959672,37.8334,5.70,OC,39.00
NGC772,1.988772,19.0075,10.11,G,4.57
NGC777,2.004139,31.4296,11.46,G,2.75
NGC779,1.995078,-5.9632,11.21,G,1.35
NGC821,2.139206,10.9949,10.77,G,2.45
NGC864,2.257678,6.0026,11.02,G,3.72
NGC869,2.316267,57.1172,3.70,OC,14.40
NGC884,2.375583,57.1441,3.80,OC,10.50
NGC891,2.375947,42.3491,10.01,G,13.03
NGC908,2.384603,-21.2339,10.22,G,6.14
NGC925,2.454689,33.5792,9.99,G,10.72
NGC936,2.460406,-1.1563,10.23,G,4.44
NGC956,2.541917,44.5935,8.90,OC,4.50
NGC957,2.555286,57.5697,7.60,OC,10.20
NGC972,2.570383,29.3113,11.33,G,3.31
NGC986,2.559542,-39.0451,10.91,G,3.77
NGC988,2.591042,-9.3562,10.34,G,4.33
NGC1003,2.654692,40.8723,11.49,G,3.47
NGC1022,2.642419,-6.6774,11.35,G,2.60
NGC1023,2.673336,39.0633,8.96,G,7.40
NGC1027,2.709739,61.5944,6.68,OC,7.80
NGC1042,2.673325,-8.4336,11.03,G,3.87
NGC1052,2.684667,-8.2558,10.85,G,2.94
NGC1055,2.695897,0.4432,10.60,G,6.92
NGC1058,2.725000,37.3413,11.25,G,2.47
NGC1073,2.727922,1.3761,11.05,G,3.54
NGC1079,2.728983,-29.0034,11.44,G,2.65
NGC1084,2.766642,-7.5785,10.58,G,3.40
NGC1087,2.773656,-0.4986,10.92,G,2.97
NGC1097,2.771958,-30.2749,9.54,G,10.57
NGC1156,2.995083,25.2378,11.46,G,2.96
NGC1169,3.059653,46.3864,11.41,G,3.31
NGC1187,3.043775,-22.8672,10.77,G,4.14
NGC1199,3.060669,-15.6132,11.43,G,2.83
NGC1201,3.068883,-26.0696,10.81,G,3.41
NGC1209,3.100839,-15.6113,11.38,G,2.25
NGC1232,3.162642,-20.5793,9.96,G,6.79
NGC1245,3.244850,47.2387,8.40,OC,11.40
NGC1255,3.225567,-25.7252,11.00,G,4.05
NGC1261,3.204261,-55.2168,8.63,GC,5.10
NGC1269,3.288497,-41.1081,8.70,G,11.17
NGC1300,3.328078,-19.4114,10.52,G,5.96
NGC1302,3.330883,-26.0604,10.63,G,4.27
NGC1309,3.368489,-15.4001,11.36,G,2.39
NGC1313,3.304458,-66.4982,9.05,G,11.07
NGC1316,3.378256,-37.2082,8.48,G,13.46
NGC1317,3.378969,-37.1037,10.88,G,3.10
NGC1326,3.399000,-36.4647,10.45,G,4.28
NGC1332,3.438125,-21.3352,10.36,G,5.31
NGC1333,3.482000,31.3700,10.30,OC,19.50
NGC1340,3.472131,-31.0682,10.37,G,5.12
NGC1342,3.527811,37.3794,6.70,OC,6.30
NGC1350,3.518922,-33.6286,10.31,G,5.18
NGC1351,3.509717,-34.8539,11.46,G,3.40
NGC1353,3.534172,-20.8192,11.46,G,3.64
NGC1357,3.554744,-13.6641,11.44,G,3.37
NGC1360,3.554069,-25.8717,9.00,PN,6.42
NGC1365,3.560103,-36.1404,9.76,G,12.02
NGC1367,3.583706,-24.9332,10.66,G,4.88
NGC1374,3.587942,-35.2263,11.14,G,2.86
NGC1379,3.601097,-35.4412,11.02,G,2.66
NGC1380,3.607664,-34.9762,9.94,G,4.58
NGC1381,3.608800,-35.2952,11.47,G,2.54
NGC1385,3.624681,-24.5003,10.86,G,3.40
NGC1386,3.612828,-35.9994,11.47,G,3.59
NGC1387,3.615850,-35.5066,10.75,G,3.01
NGC1395,3.641597,-23.0275,9.65,G,4.71
NGC1398,3.647814,-26.3378,9.55,G,6.95
NGC1399,3.641397,-35.4507,9.40,G,8.51
NGC1400,3.658567,-18.6881,11.06,G,2.81
NGC1404,3.647756,-35.5944,9.93,G,5.01
NGC1407,3.669961,-18.5801,9.65,G,5.73
NGC1411,3.645797,-44.1006,11.19,G,2.45
NGC1421,3.708133,-13.4880,11.36,G,3.55
NGC1425,3.703186,-29.8933,10.70,G,4.91
NGC1426,3.713642,-22.1084,11.47,G,2.86
