moon_naif,moon_name,epoch_utc,jd_utc,ra_hms,dec_dms,range_au,deldot_km_s
599,Jupiter,1900-01-01,2415020.5,"16 02 31.46","-19 52 48.8",6.11306251805365,-18.0573490
599,Jupiter,2000-01-01,2451544.5,"01 35 24.47","+08 35 10.4",4.61342273127327,26.8150094
599,Jupiter,2100-01-01,2488069.5,"13 15 05.99","-06 33 34.3",5.54584266981712,-27.4927181
501,Io,1900-01-01,2415020.5,"16 02 30.92","-19 52 52.3",6.11588264713755,-16.8531383
501,Io,2000-01-01,2451544.5,"01 35 17.38","+08 34 23.3",4.61225879634782,42.5630470
501,Io,2100-01-01,2488069.5,"13 15 00.63","-06 33 02.2",5.54745916036215,-13.2910952
502,Europa,1900-01-01,2415020.5,"16 02 20.99","-19 52 18.7",6.11262410904670,-4.4215646
502,Europa,2000-01-01,2451544.5,"01 35 33.73","+08 36 00.1",4.61036909784164,16.8506848
502,Europa,2100-01-01,2488069.5,"13 15 15.59","-06 34 40.5",5.54723200065183,-40.5565876
503,Ganymede,1900-01-01,2415020.5,"16 02 18.51","-19 52 20.3",6.11768245173140,-9.8169807
503,Ganymede,2000-01-01,2451544.5,"01 35 28.92","+08 35 22.0",4.60642203313293,24.6133330
503,Ganymede,2100-01-01,2488069.5,"13 15 17.18","-06 34 56.4",5.55097250891517,-35.0364631
504,Callisto,1900-01-01,2415020.5,"16 02 32.59","-19 53 12.7",6.12554618251041,-18.4898287
504,Callisto,2000-01-01,2451544.5,"01 35 47.95","+08 37 57.2",4.62253449896296,21.2300225
504,Callisto,2100-01-01,2488069.5,"13 15 33.20","-06 36 37.4",5.54998766115851,-35.1576000
